ensembl_gene_id	biomarkerset	external_gene_name	description
ENSG00000173221	OVvsCtrl	GLRX	glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330]
ENSG00000173457	OVvsCtrl	PPP1R14B	protein phosphatase 1 regulatory inhibitor subunit 14B [Source:HGNC Symbol;Acc:HGNC:9057]
ENSG00000174099	OVvsCtrl	MSRB3	methionine sulfoxide reductase B3 [Source:HGNC Symbol;Acc:HGNC:27375]
ENSG00000175463	OVvsCtrl	TBC1D10C	TBC1 domain family member 10C [Source:HGNC Symbol;Acc:HGNC:24702]
ENSG00000177600	OVvsCtrl	RPLP2	ribosomal protein lateral stalk subunit P2 [Source:HGNC Symbol;Acc:HGNC:10377]
ENSG00000178732	OVvsCtrl	GP5	glycoprotein V platelet [Source:HGNC Symbol;Acc:HGNC:4443]
ENSG00000178982	OVvsCtrl	EIF3K	eukaryotic translation initiation factor 3 subunit K [Source:HGNC Symbol;Acc:HGNC:24656]
ENSG00000179271	OVvsCtrl	GADD45GIP1	GADD45G interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29996]
ENSG00000179950	OVvsCtrl	PUF60	poly(U) binding splicing factor 60 [Source:HGNC Symbol;Acc:HGNC:17042]
ENSG00000182774	OVvsCtrl	RPS17	ribosomal protein S17 [Source:HGNC Symbol;Acc:HGNC:10397]
ENSG00000182810	OVvsCtrl	DDX28	DEAD-box helicase 28 [Source:HGNC Symbol;Acc:HGNC:17330]
ENSG00000184260	OVvsCtrl	HIST2H2AC	histone cluster 2 H2A family member c [Source:HGNC Symbol;Acc:HGNC:4738]
ENSG00000184990	OVvsCtrl	SIVA1	SIVA1 apoptosis inducing factor [Source:HGNC Symbol;Acc:HGNC:17712]
ENSG00000185811	OVvsCtrl	IKZF1	IKAROS family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:13176]
ENSG00000185989	OVvsCtrl	RASA3	RAS p21 protein activator 3 [Source:HGNC Symbol;Acc:HGNC:20331]
ENSG00000187764	OVvsCtrl	SEMA4D	semaphorin 4D [Source:HGNC Symbol;Acc:HGNC:10732]
ENSG00000188846	OVvsCtrl	RPL14	ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:10305]
ENSG00000188976	OVvsCtrl	NOC2L	NOC2 like nucleolar associated transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:24517]
ENSG00000196531	OVvsCtrl	NACA	nascent polypeptide-associated complex alpha subunit [Source:HGNC Symbol;Acc:HGNC:7629]
ENSG00000198771	OVvsCtrl	RCSD1	RCSD domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28310]
ENSG00000198918	OVvsCtrl	RPL39	ribosomal protein L39 [Source:HGNC Symbol;Acc:HGNC:10350]
ENSG00000198931	OVvsCtrl	APRT	adenine phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:626]
ENSG00000203814	OVvsCtrl	HIST2H2BF	histone cluster 2 H2B family member f [Source:HGNC Symbol;Acc:HGNC:24700]
ENSG00000205250	OVvsCtrl	E2F4	E2F transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3118]
ENSG00000205302	OVvsCtrl	SNX2	sorting nexin 2 [Source:HGNC Symbol;Acc:HGNC:11173]
ENSG00000213619	OVvsCtrl	NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3 [Source:HGNC Symbol;Acc:HGNC:7710]
ENSG00000213741	OVvsCtrl	RPS29	ribosomal protein S29 [Source:HGNC Symbol;Acc:HGNC:10419]
ENSG00000231500	OVvsCtrl	RPS18	ribosomal protein S18 [Source:HGNC Symbol;Acc:HGNC:10401]
ENSG00000255302	OVvsCtrl	EID1	EP300 interacting inhibitor of differentiation 1 [Source:HGNC Symbol;Acc:HGNC:1191]
ENSG00000275379	OVvsCtrl	HIST1H3I	histone cluster 1 H3 family member i [Source:HGNC Symbol;Acc:HGNC:4771]
ENSG00000277791	OVvsCtrl	PSMB3	proteasome subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:9540]
ENSG00000278588	OVvsCtrl	HIST1H2BI	histone cluster 1 H2B family member i [Source:HGNC Symbol;Acc:HGNC:4756]
ENSG00000001461	PRADvsCtrl	NIPAL3	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]
ENSG00000026508	PRADvsCtrl	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]
ENSG00000090020	PRADvsCtrl	SLC9A1	solute carrier family 9 member A1 [Source:HGNC Symbol;Acc:HGNC:11071]
ENSG00000100300	PRADvsCtrl	TSPO	translocator protein [Source:HGNC Symbol;Acc:HGNC:1158]
ENSG00000100519	PRADvsCtrl	PSMC6	proteasome 26S subunit, ATPase 6 [Source:HGNC Symbol;Acc:HGNC:9553]
ENSG00000100580	PRADvsCtrl	TMED8	transmembrane p24 trafficking protein family member 8 [Source:HGNC Symbol;Acc:HGNC:18633]
ENSG00000102024	PRADvsCtrl	PLS3	plastin 3 [Source:HGNC Symbol;Acc:HGNC:9091]
ENSG00000105426	PRADvsCtrl	PTPRS	protein tyrosine phosphatase, receptor type S [Source:HGNC Symbol;Acc:HGNC:9681]
ENSG00000105698	PRADvsCtrl	USF2	upstream transcription factor 2, c-fos interacting [Source:HGNC Symbol;Acc:HGNC:12594]
ENSG00000105851	PRADvsCtrl	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]
ENSG00000108179	PRADvsCtrl	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]
ENSG00000113282	PRADvsCtrl	CLINT1	clathrin interactor 1 [Source:HGNC Symbol;Acc:HGNC:23186]
ENSG00000113387	PRADvsCtrl	SUB1	SUB1 homolog, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:19985]
ENSG00000115128	PRADvsCtrl	SF3B6	splicing factor 3b subunit 6 [Source:HGNC Symbol;Acc:HGNC:30096]
ENSG00000115306	PRADvsCtrl	SPTBN1	spectrin beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]
ENSG00000119707	PRADvsCtrl	RBM25	RNA binding motif protein 25 [Source:HGNC Symbol;Acc:HGNC:23244]
ENSG00000122515	PRADvsCtrl	ZMIZ2	zinc finger MIZ-type containing 2 [Source:HGNC Symbol;Acc:HGNC:22229]
ENSG00000132359	PRADvsCtrl	RAP1GAP2	RAP1 GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:29176]
ENSG00000138801	PRADvsCtrl	PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1 [Source:HGNC Symbol;Acc:HGNC:8603]
ENSG00000142973	PRADvsCtrl	CYP4B1	cytochrome P450 family 4 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2644]
ENSG00000143418	PRADvsCtrl	CERS2	ceramide synthase 2 [Source:HGNC Symbol;Acc:HGNC:14076]
ENSG00000143520	PRADvsCtrl	FLG2	filaggrin family member 2 [Source:HGNC Symbol;Acc:HGNC:33276]
ENSG00000143546	PRADvsCtrl	S100A8	S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]
ENSG00000143631	PRADvsCtrl	FLG	filaggrin [Source:HGNC Symbol;Acc:HGNC:3748]
ENSG00000144579	PRADvsCtrl	CTDSP1	CTD small phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:21614]
ENSG00000150593	PRADvsCtrl	PDCD4	programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763]
ENSG00000159840	PRADvsCtrl	ZYX	zyxin [Source:HGNC Symbol;Acc:HGNC:13200]
ENSG00000163220	PRADvsCtrl	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]
ENSG00000163221	PRADvsCtrl	S100A12	S100 calcium binding protein A12 [Source:HGNC Symbol;Acc:HGNC:10489]
ENSG00000165757	PRADvsCtrl	JCAD	junctional cadherin 5 associated [Source:HGNC Symbol;Acc:HGNC:29283]
ENSG00000166337	PRADvsCtrl	TAF10	TATA-box binding protein associated factor 10 [Source:HGNC Symbol;Acc:HGNC:11543]
ENSG00000167088	PRADvsCtrl	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide [Source:HGNC Symbol;Acc:HGNC:11158]
ENSG00000169976	PRADvsCtrl	SF3B5	splicing factor 3b subunit 5 [Source:HGNC Symbol;Acc:HGNC:21083]
ENSG00000170027	PRADvsCtrl	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma [Source:HGNC Symbol;Acc:HGNC:12852]
ENSG00000170873	PRADvsCtrl	MTSS1	MTSS1, I-BAR domain containing [Source:HGNC Symbol;Acc:HGNC:20443]
ENSG00000172164	PRADvsCtrl	SNTB1	syntrophin beta 1 [Source:HGNC Symbol;Acc:HGNC:11168]
ENSG00000173221	PRADvsCtrl	GLRX	glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330]
ENSG00000177469	PRADvsCtrl	CAVIN1	caveolae associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9688]
ENSG00000178732	PRADvsCtrl	GP5	glycoprotein V platelet [Source:HGNC Symbol;Acc:HGNC:4443]
ENSG00000186815	PRADvsCtrl	TPCN1	two pore segment channel 1 [Source:HGNC Symbol;Acc:HGNC:18182]
ENSG00000187010	PRADvsCtrl	RHD	Rh blood group D antigen [Source:HGNC Symbol;Acc:HGNC:10009]
ENSG00000187764	PRADvsCtrl	SEMA4D	semaphorin 4D [Source:HGNC Symbol;Acc:HGNC:10732]
ENSG00000198060	PRADvsCtrl	MARCH5	membrane associated ring-CH-type finger 5 [Source:HGNC Symbol;Acc:HGNC:26025]
ENSG00000205302	PRADvsCtrl	SNX2	sorting nexin 2 [Source:HGNC Symbol;Acc:HGNC:11173]
ENSG00000205978	PRADvsCtrl	NYNRIN	NYN domain and retroviral integrase containing [Source:HGNC Symbol;Acc:HGNC:20165]
ENSG00000255302	PRADvsCtrl	EID1	EP300 interacting inhibitor of differentiation 1 [Source:HGNC Symbol;Acc:HGNC:1191]
ENSG00000105643	UCECvsCtrl	ARRDC2	arrestin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25225]
ENSG00000108179	UCECvsCtrl	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]
ENSG00000117519	UCECvsCtrl	CNN3	calponin 3 [Source:HGNC Symbol;Acc:HGNC:2157]
ENSG00000124151	UCECvsCtrl	NCOA3	nuclear receptor coactivator 3 [Source:HGNC Symbol;Acc:HGNC:7670]
ENSG00000128422	UCECvsCtrl	KRT17	keratin 17 [Source:HGNC Symbol;Acc:HGNC:6427]
ENSG00000143631	UCECvsCtrl	FLG	filaggrin [Source:HGNC Symbol;Acc:HGNC:3748]
ENSG00000164050	UCECvsCtrl	PLXNB1	plexin B1 [Source:HGNC Symbol;Acc:HGNC:9103]
ENSG00000171843	UCECvsCtrl	MLLT3	MLLT3, super elongation complex subunit [Source:HGNC Symbol;Acc:HGNC:7136]
ENSG00000183098	UCECvsCtrl	GPC6	glypican 6 [Source:HGNC Symbol;Acc:HGNC:4454]
ENSG00000185989	UCECvsCtrl	RASA3	RAS p21 protein activator 3 [Source:HGNC Symbol;Acc:HGNC:20331]
ENSG00000187010	UCECvsCtrl	RHD	Rh blood group D antigen [Source:HGNC Symbol;Acc:HGNC:10009]
ENSG00000188976	UCECvsCtrl	NOC2L	NOC2 like nucleolar associated transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:24517]
ENSG00000239839	UCECvsCtrl	DEFA3	defensin alpha 3 [Source:HGNC Symbol;Acc:HGNC:2762]
